"","Subtype","Provider","Name","Council","Grades published","Setting","Staffing","Leadership","Care and play","Complaints upheld since 22/23","Total"
"344","Under 3s","Voluntary or Not for Profit","Merry Go Round Playgroup","Perth & Kinross","15/11/2022",4,5,4,4,0,17
"345","Over 3s","Local Authority","Milnathort Kids Club","Perth & Kinross","13/11/2023",4,5,3,4,0,16
"346","Under 3s","Voluntary or Not for Profit","Muirton Community Nursery","Perth & Kinross","29/11/2023",5,5,4,4,0,18
"347","Under 3s","Private","Thrive Childcare and Education Corner House Perth","Perth & Kinross","06/09/2023",4,3,3,3,0,13
"348","Under 3s","Private","Perth College Nursery","Perth & Kinross","08/11/2021",4,5,4,5,0,18
"349","Under 3s","Private","Kids Ahoy Childcare Centre","Dumfries & Galloway","16/04/2019",4,4,5,4,0,17
"350","Under 3s","Voluntary or Not for Profit","Penpont, Keir and Tynron Pre-School","Dumfries & Galloway","06/06/2019",4,4,4,5,0,17
"351","Over 3s","Voluntary or Not for Profit","Dunscore Pre-school Centre","Dumfries & Galloway","14/01/2020",5,5,5,5,0,20
"352","Under 3s","Voluntary or Not for Profit","Dalbeattie Playgroup","Dumfries & Galloway","12/01/2024",3,3,3,3,0,12
"353","Under 3s","Voluntary or Not for Profit","Springholm Nursery","Dumfries & Galloway","08/02/2024",3,4,3,3,1,13
"354","Under 3s","Voluntary or Not for Profit","Dumfries Toy Library","Dumfries & Galloway","28/05/2024",5,5,5,5,0,20
"355","Under 3s","Local Authority","Camelon Early Learning and Childcare Centre","Falkirk","11/09/2023",5,5,5,5,0,20
"356","Over 3s","Voluntary or Not for Profit","Go Kids Victoria","Falkirk","13/09/2019",4,4,4,5,0,17
"357","Over 3s","Voluntary or Not for Profit","Grange After School Project","Falkirk","06/12/2023",3,3,3,3,0,12
"358","Over 3s","Voluntary or Not for Profit","GO Kids Comely Park","Falkirk","05/02/2024",3,4,4,4,0,15
"359","Under 3s","Private","First Steps Day Nursery","Falkirk","24/09/2020",5,4,4,4,0,17
"360","Under 3s","Local Authority","Rannoch Early Learning and Childcare Centre","Falkirk","03/08/2022",4,5,5,5,0,19
"361","Under 3s","Private","Wellside Kindergarten","Falkirk","08/11/2018",5,6,5,5,0,21
"362","Under 3s","Voluntary or Not for Profit","One Parent Families Scotland - Falkirk","Falkirk","12/12/2023",4,4,4,4,0,16
"363","Under 3s","Local Authority","Woodburn Early Learning and Childcare Centre","Falkirk","15/08/2019",5,5,5,5,0,20
"364","Under 3s","Private","ACE","Dumfries & Galloway","04/03/2024",4,4,4,4,0,16
"365","Under 3s","Voluntary or Not for Profit","Eastriggs & Dornock Early Years","Dumfries & Galloway","05/04/2019",5,5,5,5,0,20
"366","Under 3s","Voluntary or Not for Profit","Langholm Playcare","Dumfries & Galloway","17/05/2023",3,4,4,4,0,15
"367","Under 3s","Voluntary or Not for Profit","Crossmichael & Parton Playgroup","Dumfries & Galloway","04/04/2019",4,5,4,4,0,17
"368","Under 3s","Voluntary or Not for Profit","Kelton Nursery","Dumfries & Galloway","25/04/2024",3,4,4,4,0,15
"369","Under 3s","Voluntary or Not for Profit","Moniaive Playcare","Dumfries & Galloway","22/08/2018",4,5,5,5,0,19
"370","Under 3s","Voluntary or Not for Profit","Kirkcolm Under 5's","Dumfries & Galloway","07/02/2019",6,5,5,5,0,21
"371","Over 3s","Voluntary or Not for Profit","Port William Playgroup","Dumfries & Galloway","21/05/2024",4,5,4,4,0,17
"372","Over 3s","Voluntary or Not for Profit","Lothian Autistic Society in West Lothian","West Lothian","07/09/2018",5,6,5,5,0,21
"373","Under 3s","Voluntary or Not for Profit","Howden Playgroup","West Lothian","03/05/2019",5,4,5,5,0,19
"374","Under 3s","Voluntary or Not for Profit","The Yard","City of Edinburgh","28/09/2018",6,5,6,5,0,22
"375","Over 3s","Voluntary or Not for Profit","Gingerbread - Dalry","City of Edinburgh","19/04/2017",4,4,4,4,0,16
"376","Under 3s","Private","Pinocchio Nursery","Midlothian","25/04/2023",4,4,4,4,0,16
