"Date","Scotland"
"Nov 2018",87
"Dec 2018",87
"Jan 2019",87
"Feb 2019",88
"Mar 2019",88
"Apr 2019",88
"May 2019",89
"Jun 2019",89
"Jul 2019",89
"Aug 2019",89
"Sep 2019",88
"Oct 2019",88
"Nov 2019",87
"Dec 2019",88
"Jan 2020",87
"Feb 2020",88
"Mar 2020",87
"Apr 2020",87
"May 2020",87
"Jun 2020",87
"Jul 2020",86
"Aug 2020",86
"Sep 2020",86
"Oct 2020",86
"Nov 2020",85
"Dec 2020",85
"Jan 2021",86
"Feb 2021",86
"Mar 2021",86
"Apr 2021",88
"May 2021",88
"Jun 2021",88
"Jul 2021",89
"Aug 2021",89
"Sep 2021",89
"Oct 2021",89
"Nov 2021",89
"Dec 2021",89
"Jan 2022",89
"Feb 2022",89
"Mar 2022",89
"Apr 2022",88
"May 2022",89
"Jun 2022",89
"Jul 2022",89
"Aug 2022",87
"Sep 2022",86
"Oct 2022",86
"Nov 2022",85
"Dec 2022",84
"Jan 2023",84
"Feb 2023",84
"Mar 2023",83
"Apr 2023",82
"May 2023",82
"Jun 2023",80
"Jul 2023",80
"Aug 2023",80
"Sep 2023",82
"Oct 2023",83
"Nov 2023",82
"Dec 2023",82
"Jan 2024",82
"Feb 2024",80
"Mar 2024",80
"Apr 2024",78
"May 2024",78
"Jun 2017",32
"Jul 2017",32
"Aug 2017",31
"Sep 2017",31
"Oct 2017",31
"Nov 2017",31
"Dec 2017",31
"Jan 2018",31
"Feb 2018",31
"Mar 2018",31
"Apr 2018",30
"May 2018",30
"Jun 2018",30
"Jul 2018",30
"Aug 2018",30
"Sep 2018",30
"Oct 2018",30
"Nov 2018",30
"Dec 2018",30
"Jan 2019",30
"Feb 2019",30
"Mar 2019",30
"Apr 2019",29
"May 2019",29
"Jun 2019",29
"Jul 2019",29
"Aug 2019",29
"Sep 2019",29
"Oct 2019",28
"Nov 2019",28
"Dec 2019",28
"Jan 2020",28
"Feb 2020",28
"Mar 2020",27
"Apr 2020",27
"May 2020",27
"Jun 2020",27
"Jul 2020",27
"Aug 2020",27
"Sep 2020",27
"Oct 2020",27
"Nov 2020",27
"Dec 2020",27
"Jan 2021",28
"Feb 2021",27
"Mar 2021",27
"Apr 2021",27
"May 2021",27
"Jun 2021",27
"Jul 2021",27
"Aug 2021",28
"Sep 2021",28
"Oct 2021",28
"Nov 2021",28
"Dec 2021",29
"Jan 2022",29
"Feb 2022",29
"Mar 2022",29
"Apr 2022",29
"May 2022",29
"Jun 2022",29
"Jul 2022",29
"Aug 2022",29
"Sep 2022",29
"Oct 2022",29
"Nov 2022",29
"Dec 2022",29
"Jan 2023",29
"Feb 2023",29
"Mar 2023",29
"Apr 2023",29
"May 2023",29
"Jun 2023",29
"Jul 2023",29
